window_idx,measurement_idx,measurement_value
1,0,0.000000
1,1,-0.265000
1,2,-0.044000
1,3,-1.370000
1,4,4.154000
1,5,0.221000
1,6,-0.044000
1,7,0.000000
1,8,18.429000
1,9,0.133000
1,10,-1.105000
1,11,-0.221000
1,12,-2.696000
1,13,-1.105000
1,14,2.166000
1,15,0.177000
1,16,0.309000
1,17,-0.442000
1,18,0.133000
1,19,0.265000
1,20,2.121000
1,21,4.198000
1,22,0.177000
1,23,0.663000
1,24,-0.354000
1,25,-2.828000
1,26,0.354000
1,27,-1.237000
1,28,2.828000
1,29,5.701000
1,30,0.354000
1,31,0.309000
2,0,0.000000
2,1,0.088000
2,2,0.309000
2,3,0.398000
2,4,-1.061000
2,5,0.133000
2,6,0.663000
2,7,0.354000
2,8,4.287000
2,9,-0.221000
2,10,-5.878000
2,11,-0.575000
2,12,-0.133000
2,13,0.575000
2,14,-0.928000
2,15,0.707000
2,16,0.884000
2,17,-2.342000
2,18,-0.619000
2,19,0.044000
2,20,1.635000
2,21,2.652000
2,22,-0.221000
2,23,-0.177000
2,24,0.133000
2,25,-0.133000
2,26,-0.133000
2,27,0.221000
2,28,-0.840000
2,29,-1.591000
2,30,0.486000
2,31,0.265000
3,0,0.000000
3,1,0.110000
3,2,0.552000
3,3,-0.773000
3,4,-0.243000
3,5,0.066000
3,6,-0.420000
3,7,-0.287000
3,8,1.304000
3,9,-0.155000
3,10,-2.011000
3,11,0.508000
3,12,0.243000
3,13,0.155000
3,14,-0.066000
3,15,-0.552000
3,16,0.950000
3,17,-3.204000
3,18,0.729000
3,19,0.641000
3,20,1.260000
3,21,1.481000
3,22,-0.508000
3,23,0.066000
3,24,-0.376000
3,25,1.304000
3,26,0.110000
3,27,-0.199000
3,28,0.376000
3,29,-1.171000
3,30,0.110000
3,31,-0.773000
4,0,-0.000000
4,1,1.149000
4,2,-0.044000
4,3,0.088000
4,4,-0.619000
4,5,0.884000
4,6,-0.751000
4,7,0.133000
4,8,-13.479000
4,9,-0.619000
4,10,-1.635000
4,11,-0.354000
4,12,0.177000
4,13,0.133000
4,14,-0.884000
4,15,0.354000
4,16,0.221000
4,17,1.105000
4,18,1.016000
4,19,0.088000
4,20,1.149000
4,21,3.138000
4,22,0.398000
4,23,0.442000
4,24,0.486000
4,25,-0.088000
4,26,0.044000
4,27,0.972000
4,28,-1.635000
4,29,-3.977000
4,30,0.354000
4,31,-0.928000
5,0,0.000000
5,1,0.530000
5,2,-0.265000
5,3,0.354000
5,4,-0.265000
5,5,-0.000000
5,6,-0.619000
5,7,-0.265000
5,8,-12.286000
5,9,-0.000000
5,10,-1.503000
5,11,-0.088000
5,12,0.530000
5,13,0.265000
5,14,0.354000
5,15,0.265000
5,16,-0.221000
5,17,1.016000
5,18,-0.044000
5,19,0.398000
5,20,0.221000
5,21,-1.105000
5,22,-0.133000
5,23,0.840000
5,24,-0.133000
5,25,-2.166000
5,26,-0.133000
5,27,0.133000
5,28,0.398000
5,29,-0.398000
5,30,0.133000
5,31,0.221000
6,0,-0.000000
6,1,0.795000
6,2,-0.088000
6,3,0.663000
6,4,-2.740000
6,5,0.088000
6,6,0.972000
6,7,-0.088000
6,8,-9.899000
6,9,-0.354000
6,10,-1.193000
6,11,0.309000
6,12,1.370000
6,13,0.088000
6,14,-0.000000
6,15,0.177000
6,16,0.354000
6,17,-1.282000
6,18,0.133000
6,19,0.133000
6,20,-0.044000
6,21,1.061000
6,22,-0.265000
6,23,0.265000
6,24,-0.619000
6,25,-0.840000
6,26,0.133000
6,27,-0.044000
6,28,-0.044000
6,29,1.326000
6,30,-0.354000
6,31,-0.000000
7,0,0.000000
7,1,0.420000
7,2,0.641000
7,3,0.773000
7,4,-1.746000
7,5,0.243000
7,6,-0.464000
7,7,0.199000
7,8,-0.729000
7,9,-0.022000
7,10,-2.497000
7,11,-0.729000
7,12,0.729000
7,13,-0.420000
7,14,0.729000
7,15,0.243000
7,16,0.420000
7,17,-0.066000
7,18,0.243000
7,19,0.110000
7,20,-0.022000
7,21,-0.420000
7,22,-0.110000
7,23,0.110000
7,24,-0.199000
7,25,-2.055000
7,26,-0.022000
7,27,-0.243000
7,28,0.110000
7,29,0.066000
7,30,-0.243000
7,31,-0.110000
8,0,-0.000000
8,1,-1.414000
8,2,0.133000
8,3,1.149000
8,4,-5.745000
8,5,-0.221000
8,6,1.635000
8,7,-0.795000
8,8,9.016000
8,9,-0.265000
8,10,-4.729000
8,11,-0.133000
8,12,1.370000
8,13,-0.000000
8,14,-0.442000
8,15,0.928000
8,16,0.221000
8,17,-1.812000
8,18,-0.177000
8,19,0.398000
8,20,0.663000
8,21,1.282000
8,22,0.000000
8,23,-0.354000
8,24,0.044000
8,25,0.530000
8,26,-0.088000
8,27,-0.354000
8,28,0.088000
8,29,-1.149000
8,30,-0.398000
8,31,-0.530000
9,0,-0.000000
9,1,0.928000
9,2,-0.575000
9,3,0.354000
9,4,-1.547000
9,5,-0.088000
9,6,0.840000
9,7,-0.000000
9,8,-17.413000
9,9,-0.663000
9,10,-1.061000
9,11,-0.044000
9,12,0.928000
9,13,0.088000
9,14,-0.309000
9,15,-0.442000
9,16,-0.044000
9,17,1.414000
9,18,-1.458000
9,19,0.398000
9,20,0.663000
9,21,2.077000
9,22,-0.177000
9,23,0.133000
