route,topic,ok,payload_len,t,source
DIRECT,health_monitor/node_2/cs_ppg,1,310,9013,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1516,9130,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,12039,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,12157,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,15066,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,15173,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,18089,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,18193,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,21110,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,21229,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,24132,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,24256,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,27156,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,27277,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,30195,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,30300,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,33213,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,33333,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,36236,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,36353,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,39266,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,39381,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,42295,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,42403,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,45319,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,45435,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,48341,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,48460,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,51370,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,51487,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,54392,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,54516,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,57420,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1529,57534,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,60445,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,60536,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,63470,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,63554,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,66487,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,66570,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,69518,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,69592,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,72541,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,72609,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,75574,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,75625,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,78599,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,78649,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,81619,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,81667,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,84639,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,84689,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,87668,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,87705,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,90692,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,90725,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,93711,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,93740,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,96732,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,96763,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,311,99755,gateway
DIRECT,health_monitor/node_1/cs_imu,1,1514,99784,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,312,102776,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1530,102828,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,312,105797,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1530,105858,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,312,108823,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1530,108891,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,312,111846,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1530,111917,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,312,114877,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1530,114939,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,312,117901,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1530,117969,gateway
DIRECT,health_monitor/node_2/cs_ppg,1,312,120922,gateway
RELAYED,health_monitor/node_1/cs_imu,1,1530,120995,gateway
