node,scenario,cycle,repeat,phase,seq,expect,actual,next_hop,ok,ts,t,source
1,2,1,5,baseline_direct,1,DIRECT,DIRECT,0,1,3000,3015,imu
1,2,1,5,baseline_direct,2,DIRECT,DIRECT,0,1,6015,6032,imu
1,2,1,5,baseline_direct,3,DIRECT,DIRECT,0,1,9033,9062,imu
1,2,1,5,baseline_direct,4,DIRECT,DIRECT,0,1,12062,12088,imu
1,2,1,5,baseline_direct,5,DIRECT,DIRECT,0,1,15088,15104,imu
1,2,1,5,baseline_direct,6,DIRECT,DIRECT,0,1,18105,18125,imu
1,2,1,5,forced_relay,7,RELAY,RELAY,2,1,21125,21147,imu
1,2,1,5,forced_relay,8,RELAY,RELAY,2,1,24147,24173,imu
1,2,1,5,forced_relay,9,RELAY,RELAY,2,1,27173,27197,imu
1,2,1,5,forced_relay,10,RELAY,RELAY,2,1,30197,30225,imu
1,2,1,5,forced_relay,11,RELAY,RELAY,2,1,33226,33252,imu
1,2,1,5,forced_relay,12,RELAY,RELAY,2,1,36252,36276,imu
1,2,1,5,forced_relay,13,RELAY,RELAY,2,1,39276,39301,imu
1,2,1,5,relay_hold,14,RELAY,RELAY,2,1,42301,42325,imu
1,2,1,5,relay_hold,15,RELAY,RELAY,2,1,45325,45350,imu
1,2,1,5,relay_hold,16,RELAY,RELAY,2,1,48350,48378,imu
1,2,1,5,relay_hold,17,RELAY,RELAY,2,1,51378,51401,imu
1,2,1,5,relay_hold,18,RELAY,RELAY,2,1,54401,54424,imu
1,2,1,5,relay_hold,19,RELAY,RELAY,2,1,57425,57447,imu
1,2,1,5,direct_recovery,20,DIRECT,DIRECT,0,1,60448,60469,imu
1,2,1,5,direct_recovery,21,DIRECT,DIRECT,0,1,63469,63488,imu
1,2,1,5,direct_recovery,22,DIRECT,DIRECT,0,1,66488,66502,imu
1,2,1,5,direct_recovery,23,DIRECT,DIRECT,0,1,69502,69525,imu
1,2,1,5,direct_recovery,24,DIRECT,DIRECT,0,1,72525,72541,imu
1,2,1,5,direct_recovery,25,DIRECT,DIRECT,0,1,75542,75558,imu
1,2,1,5,direct_recovery,26,DIRECT,DIRECT,0,1,78559,78582,imu
1,2,2,5,baseline_direct,27,DIRECT,DIRECT,0,1,81582,81600,imu
1,2,2,5,baseline_direct,28,DIRECT,DIRECT,0,1,84601,84621,imu
1,2,2,5,baseline_direct,29,DIRECT,DIRECT,0,1,87621,87639,imu
1,2,2,5,baseline_direct,30,DIRECT,DIRECT,0,1,90639,90658,imu
1,2,2,5,baseline_direct,31,DIRECT,DIRECT,0,1,93658,93674,imu
1,2,2,5,baseline_direct,32,DIRECT,DIRECT,0,1,96674,96698,imu
