node,scenario,cycle,repeat,phase,seq,ok,ts,t,source
2,2,1,5,baseline_direct,1,1,3000,3007,ppg
2,2,1,5,baseline_direct,2,1,6008,6010,ppg
2,2,1,5,baseline_direct,3,1,9011,9020,ppg
2,2,1,5,baseline_direct,4,1,12020,12047,ppg
2,2,1,5,baseline_direct,5,1,15047,15074,ppg
2,2,1,5,baseline_direct,6,1,18084,18097,ppg
2,2,1,5,forced_relay,7,1,21108,21118,ppg
2,2,1,5,forced_relay,8,1,24118,24140,ppg
2,2,1,5,forced_relay,9,1,27141,27164,ppg
2,2,1,5,forced_relay,10,1,30164,30202,ppg
2,2,1,5,forced_relay,11,1,33202,33221,ppg
2,2,1,5,forced_relay,12,1,36222,36244,ppg
2,2,1,5,forced_relay,13,1,39245,39274,ppg
2,2,1,5,relay_hold,14,1,42275,42301,ppg
2,2,1,5,relay_hold,15,1,45302,45327,ppg
2,2,1,5,relay_hold,16,1,48328,48350,ppg
2,2,1,5,relay_hold,17,1,51350,51378,ppg
2,2,1,5,relay_hold,18,1,54378,54400,ppg
2,2,1,5,relay_hold,19,1,57401,57429,ppg
2,2,1,5,direct_recovery,20,1,60429,60453,ppg
2,2,1,5,direct_recovery,21,1,63454,63478,ppg
2,2,1,5,direct_recovery,22,1,66478,66496,ppg
2,2,1,5,direct_recovery,23,1,69506,69526,ppg
2,2,1,5,direct_recovery,24,1,72526,72550,ppg
2,2,1,5,direct_recovery,25,1,75550,75581,ppg
2,2,1,5,direct_recovery,26,1,78581,78607,ppg
2,2,2,5,baseline_direct,27,1,81608,81626,ppg
2,2,2,5,baseline_direct,28,1,84626,84648,ppg
2,2,2,5,baseline_direct,29,1,87648,87677,ppg
2,2,2,5,baseline_direct,30,1,90677,90701,ppg
2,2,2,5,baseline_direct,31,1,93701,93720,ppg
2,2,2,5,baseline_direct,32,1,96720,96741,ppg
2,2,2,5,baseline_direct,33,1,99741,99764,ppg
2,2,2,5,forced_relay,34,1,102764,102785,ppg
2,2,2,5,forced_relay,35,1,105785,105806,ppg
2,2,2,5,forced_relay,36,1,108806,108832,ppg
2,2,2,5,forced_relay,37,1,111832,111855,ppg
2,2,2,5,forced_relay,38,1,114855,114886,ppg
