route,node,scenario,cycle,phase_idx,seq,latency_ms,raw_bytes,cs_bytes,pkt_bytes,topic,payload,source
DIRECT,1,1,1,1,1,96,256,128,146,health_monitor/node_1/cs_ppg,"{""ts"":3602,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,0.0000,1.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,1,1,1,1,2,78,256,128,146,health_monitor/node_1/cs_ppg,"{""ts"":6632,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,0.0000,2.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,1,1,1,1,3,82,256,128,146,health_monitor/node_1/cs_ppg,"{""ts"":9645,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,0.0000,3.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,1,1,1,1,4,78,256,128,146,health_monitor/node_1/cs_ppg,"{""ts"":12662,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,0.0000,4.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,1,1,1,1,5,78,256,128,146,health_monitor/node_1/cs_ppg,"{""ts"":15675,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,0.0000,5.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,1,1,1,1,6,80,256,128,146,health_monitor/node_1/cs_ppg,"{""ts"":18688,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,0.0000,6.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
RELAYED,1,1,1,2,7,84,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":21703,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,1.0000,7.0000,-85.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,1,2,8,86,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":24716,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,1.0000,8.0000,-85.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,1,2,9,90,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":27732,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,1.0000,9.0000,-85.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,1,1,1,2,10,83,256,128,154,health_monitor/node_1/cs_ppg,"{""ts"":30749,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,1.0000,1.0000,10.0000,-85.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
