node,scenario,cycle,repeat,phase,seq,expect,actual,self,neighbor,next_hop,ok,t,source
1,1,4,5,direct_recovery,104,DIRECT,DIRECT,-53,-59,0,1,314651,imu
1,1,4,5,direct_recovery,105,DIRECT,DIRECT,-53,-59,0,1,317672,imu
1,1,5,5,baseline_direct,106,DIRECT,DIRECT,-49,-59,0,1,320685,imu
1,1,5,5,baseline_direct,107,DIRECT,DIRECT,-49,-53,0,1,323697,imu
1,1,5,5,baseline_direct,108,DIRECT,DIRECT,-49,-53,0,1,326712,imu
1,1,5,5,baseline_direct,109,DIRECT,DIRECT,-49,-53,0,1,329726,imu
1,1,5,5,baseline_direct,110,DIRECT,DIRECT,-49,-53,0,1,332739,imu
1,1,5,5,baseline_direct,111,DIRECT,DIRECT,-49,-53,0,1,335754,imu
1,1,5,5,baseline_direct,112,DIRECT,DIRECT,-49,-53,0,1,338768,imu
1,1,5,5,forced_relay,113,RELAY,RELAY,-81,-53,2,1,341781,imu
1,1,5,5,forced_relay,114,RELAY,RELAY,-81,-46,2,1,344793,imu
1,1,5,5,forced_relay,115,RELAY,RELAY,-81,-46,2,1,347807,imu
1,1,5,5,forced_relay,116,RELAY,RELAY,-81,-46,2,1,350820,imu
1,1,5,5,forced_relay,117,RELAY,RELAY,-81,-46,2,1,353833,imu
1,1,5,5,forced_relay,118,RELAY,RELAY,-81,-46,2,1,356845,imu
1,1,5,5,forced_relay,119,RELAY,RELAY,-81,-46,2,1,359859,imu
1,1,5,5,relay_hold,120,RELAY,RELAY,-89,-42,2,1,362872,imu
1,1,5,5,relay_hold,121,RELAY,RELAY,-89,-42,2,1,365885,imu
1,1,5,5,relay_hold,122,RELAY,RELAY,-89,-42,2,1,368898,imu
1,1,5,5,relay_hold,123,RELAY,RELAY,-89,-42,2,1,371915,imu
1,1,5,5,relay_hold,124,RELAY,RELAY,-89,-42,2,1,374928,imu
1,1,5,5,relay_hold,125,RELAY,RELAY,-89,-42,2,1,377940,imu
1,1,5,5,direct_recovery,126,DIRECT,RELAY,-48,-42,2,1,380955,imu
1,1,5,5,direct_recovery,127,DIRECT,DIRECT,-48,-60,0,1,383970,imu
1,1,5,5,direct_recovery,128,DIRECT,DIRECT,-48,-60,0,1,386983,imu
1,1,5,5,direct_recovery,129,DIRECT,DIRECT,-48,-60,0,1,390003,imu
1,1,5,5,direct_recovery,130,DIRECT,DIRECT,-48,-60,0,1,393016,imu
1,1,5,5,direct_recovery,131,DIRECT,DIRECT,-48,-60,0,1,396028,imu
1,1,5,5,direct_recovery,132,DIRECT,DIRECT,-48,-60,0,1,399041,imu
