window_idx,axis,measurement_idx,measurement_value
1,ax,0,-0.000000
1,ax,1,-0.005000
1,ax,2,-0.001000
1,ax,3,0.004000
1,ax,4,-0.003000
1,ax,5,-0.006000
1,ax,6,0.012000
1,ax,7,-0.008000
1,ax,8,-0.061000
1,ax,9,-0.000000
1,ax,10,-0.061000
1,ax,11,-0.008000
1,ax,12,0.016000
1,ax,13,0.009000
1,ax,14,0.004000
1,ax,15,-0.008000
1,ax,16,-0.011000
1,ax,17,0.027000
1,ax,18,-0.002000
1,ax,19,-0.004000
1,ax,20,-0.008000
1,ax,21,-0.034000
1,ax,22,0.003000
1,ax,23,-0.008000
1,ax,24,0.011000
1,ax,25,0.058000
1,ax,26,0.012000
1,ax,27,0.002000
1,ax,28,-0.012000
1,ax,29,-0.038000
1,ax,30,-0.013000
1,ax,31,-0.014000
1,ay,0,-0.000000
1,ay,1,0.006000
1,ay,2,-0.007000
1,ay,3,-0.002000
1,ay,4,0.050000
1,ay,5,0.007000
1,ay,6,-0.004000
1,ay,7,0.005000
1,ay,8,-0.045000
1,ay,9,-0.003000
1,ay,10,-0.002000
1,ay,11,-0.004000
1,ay,12,0.027000
1,ay,13,0.013000
1,ay,14,-0.007000
1,ay,15,-0.004000
1,ay,16,0.002000
1,ay,17,-0.027000
1,ay,18,-0.009000
1,ay,19,-0.011000
1,ay,20,0.013000
1,ay,21,0.070000
1,ay,22,-0.002000
1,ay,23,0.005000
1,ay,24,-0.016000
1,ay,25,0.049000
1,ay,26,0.009000
1,ay,27,0.012000
1,ay,28,-0.025000
1,ay,29,-0.061000
1,ay,30,0.015000
1,ay,31,0.000000
1,az,0,-0.000000
1,az,1,-0.004000
1,az,2,-0.026000
1,az,3,-0.014000
1,az,4,0.039000
1,az,5,0.010000
1,az,6,0.014000
1,az,7,-0.002000
1,az,8,-0.041000
1,az,9,0.001000
1,az,10,0.031000
1,az,11,0.006000
1,az,12,0.002000
1,az,13,-0.011000
1,az,14,-0.016000
1,az,15,-0.007000
1,az,16,0.009000
1,az,17,-0.017000
1,az,18,0.016000
1,az,19,0.005000
1,az,20,0.022000
1,az,21,0.080000
1,az,22,-0.013000
1,az,23,0.012000
1,az,24,-0.021000
1,az,25,-0.051000
1,az,26,-0.026000
1,az,27,0.005000
1,az,28,-0.016000
1,az,29,-0.027000
1,az,30,0.008000
1,az,31,0.001000
1,gx,0,0.000000
1,gx,1,0.006000
1,gx,2,0.178000
1,gx,3,0.115000
1,gx,4,-0.130000
1,gx,5,0.082000
1,gx,6,-0.045000
1,gx,7,0.122000
1,gx,8,0.017000
1,gx,9,-0.088000
1,gx,10,0.480000
1,gx,11,0.077000
1,gx,12,-0.564000
1,gx,13,-0.095000
1,gx,14,0.345000
1,gx,15,-0.072000
1,gx,16,0.044000
1,gx,17,0.561000
1,gx,18,0.169000
1,gx,19,0.284000
1,gx,20,0.158000
1,gx,21,0.854000
1,gx,22,0.317000
1,gx,23,0.107000
1,gx,24,0.080000
1,gx,25,-0.577000
1,gx,26,-0.058000
1,gx,27,-0.014000
1,gx,28,-0.006000
1,gx,29,0.270000
1,gx,30,0.351000
1,gx,31,0.067000
1,gy,0,0.000000
1,gy,1,-0.032000
1,gy,2,-0.208000
1,gy,3,-0.073000
1,gy,4,0.032000
1,gy,5,0.120000
1,gy,6,-0.246000
1,gy,7,-0.120000
1,gy,8,-0.200000
1,gy,9,0.004000
1,gy,10,-0.102000
1,gy,11,0.114000
1,gy,12,0.216000
1,gy,13,-0.018000
1,gy,14,-0.087000
1,gy,15,0.177000
1,gy,16,0.114000
1,gy,17,-0.122000
1,gy,18,-0.027000
1,gy,19,0.172000
1,gy,20,-0.093000
1,gy,21,-0.376000
1,gy,22,0.321000
1,gy,23,-0.289000
