window_idx,axis,sample_idx,raw_value,reconstructed_value,abs_error
1,ax,0,0.502000,0.715656,0.213656
1,ax,1,0.464000,0.608052,0.144052
1,ax,2,0.430000,0.586529,0.156529
1,ax,3,0.466000,0.620190,0.154190
1,ax,4,0.452000,0.523805,0.071805
1,ax,5,0.471000,0.575755,0.104755
1,ax,6,0.507000,0.577563,0.070563
1,ax,7,0.507000,0.584502,0.077502
1,ax,8,0.450000,0.427272,0.022728
1,ax,9,0.517000,0.488002,0.028998
1,ax,10,0.591000,0.514532,0.076468
1,ax,11,0.478000,0.417734,0.060266
1,ax,12,0.485000,0.427001,0.057999
1,ax,13,0.404000,0.449021,0.045021
1,ax,14,0.368000,0.453447,0.085447
1,ax,15,0.344000,0.421912,0.077912
1,ax,16,0.327000,0.478877,0.151877
1,ax,17,0.356000,0.447302,0.091302
1,ax,18,0.363000,0.391323,0.028323
1,ax,19,0.394000,0.411741,0.017741
1,ax,20,0.433000,0.569131,0.136131
1,ax,21,0.332000,0.483910,0.151910
1,ax,22,0.299000,0.473734,0.174734
1,ax,23,0.320000,0.486641,0.166641
1,ax,24,0.287000,0.437198,0.150198
1,ax,25,0.239000,0.376895,0.137895
1,ax,26,0.265000,0.265509,0.000509
1,ax,27,0.263000,0.261544,0.001456
1,ax,28,0.275000,0.148332,0.126668
1,ax,29,0.191000,0.146882,0.044118
1,ax,30,0.145000,0.228658,0.083658
1,ax,31,0.059000,0.113200,0.054200
1,ax,32,0.014000,0.029355,0.015355
1,ax,33,0.071000,0.051008,0.019992
1,ax,34,0.119000,0.049970,0.069030
1,ax,35,0.215000,0.105970,0.109030
1,ax,36,0.169000,-0.002536,0.171536
1,ax,37,0.119000,0.095630,0.023370
1,ax,38,0.193000,0.024272,0.168728
1,ax,39,0.157000,0.007850,0.149150
1,ax,40,0.157000,0.136494,0.020506
1,ax,41,0.222000,0.085934,0.136066
1,ax,42,0.337000,0.268448,0.068552
1,ax,43,0.433000,0.353103,0.079897
1,ax,44,0.540000,0.578542,0.038542
1,ax,45,0.567000,0.627714,0.060714
1,ax,46,0.667000,0.602765,0.064235
1,ax,47,0.718000,0.721546,0.003546
1,ax,48,0.778000,0.723697,0.054303
1,ax,49,0.773000,0.720822,0.052178
1,ax,50,0.847000,0.694801,0.152199
1,ax,51,0.730000,0.621562,0.108438
1,ax,52,0.713000,0.659659,0.053341
1,ax,53,0.718000,0.684940,0.033060
1,ax,54,0.658000,0.709990,0.051990
1,ax,55,0.675000,0.687915,0.012915
1,ax,56,0.603000,0.544069,0.058931
1,ax,57,0.720000,0.627041,0.092959
1,ax,58,0.667000,0.620314,0.046686
1,ax,59,0.617000,0.590320,0.026680
1,ax,60,0.598000,0.465901,0.132099
1,ax,61,0.469000,0.296721,0.172279
1,ax,62,0.387000,0.276515,0.110485
1,ax,63,0.385000,0.235817,0.149183
1,ay,0,-0.169000,-0.303878,0.134878
1,ay,1,-0.095000,-0.280330,0.185330
1,ay,2,-0.136000,-0.238543,0.102543
1,ay,3,0.096000,-0.124793,0.220793
1,ay,4,-0.069000,-0.208586,0.139586
1,ay,5,-0.126000,-0.383737,0.257737
1,ay,6,-0.275000,-0.434356,0.159356
1,ay,7,-0.280000,-0.425174,0.145174
1,ay,8,-0.217000,-0.104626,0.112374
1,ay,9,-0.258000,-0.176899,0.081101
1,ay,10,-0.241000,-0.014800,0.226200
1,ay,11,-0.184000,-0.046690,0.137310
1,ay,12,-0.133000,-0.127422,0.005578
1,ay,13,-0.112000,-0.134159,0.022159
1,ay,14,-0.098000,-0.004943,0.093057
1,ay,15,-0.102000,-0.055394,0.046606
1,ay,16,-0.102000,-0.090763,0.011237
1,ay,17,-0.177000,-0.093716,0.083284
1,ay,18,-0.107000,-0.274021,0.167021
1,ay,19,-0.172000,-0.362290,0.190290
1,ay,20,-0.260000,-0.598445,0.338445
1,ay,21,-0.212000,-0.451053,0.239053
1,ay,22,-0.198000,-0.358220,0.160220
1,ay,23,-0.260000,-0.223811,0.036189
1,ay,24,-0.332000,-0.266606,0.065394
1,ay,25,-0.339000,-0.280691,0.058309
1,ay,26,-0.241000,-0.238510,0.002490
1,ay,27,-0.153000,-0.164037,0.011037
1,ay,28,0.094000,-0.014919,0.108919
1,ay,29,0.139000,0.107150,0.031850
1,ay,30,0.116000,0.153830,0.037830
1,ay,31,0.027000,0.185692,0.158692
1,ay,32,-0.114000,-0.078417,0.035583
1,ay,33,-0.098000,-0.110232,0.012232
1,ay,34,-0.306000,-0.143820,0.162180
1,ay,35,-0.232000,-0.191374,0.040626
1,ay,36,-0.162000,-0.012057,0.149943
1,ay,37,-0.186000,-0.091344,0.094656
1,ay,38,-0.215000,-0.212693,0.002307
1,ay,39,-0.280000,-0.376277,0.096277
1,ay,40,-0.313000,-0.260946,0.052054
1,ay,41,-0.260000,-0.237262,0.022738
1,ay,42,-0.275000,-0.096816,0.178184
1,ay,43,-0.212000,-0.119846,0.092154
1,ay,44,-0.126000,-0.034855,0.091145
1,ay,45,-0.078000,-0.100304,0.022304
1,ay,46,-0.110000,-0.199019,0.089019
1,ay,47,-0.150000,-0.200445,0.050445
1,ay,48,-0.143000,-0.088892,0.054108
1,ay,49,-0.098000,0.014396,0.112396
1,ay,50,-0.038000,0.057549,0.095549
1,ay,51,0.060000,0.104960,0.044960
1,ay,52,0.106000,-0.032070,0.138070
1,ay,53,-0.047000,-0.034990,0.012010
1,ay,54,-0.021000,-0.058046,0.037046
1,ay,55,-0.016000,0.034667,0.050667
1,ay,56,0.015000,0.135573,0.120573
1,ay,57,0.046000,0.157831,0.111831
1,ay,58,-0.102000,-0.045863,0.056137
1,ay,59,-0.062000,-0.016992,0.045008
1,ay,60,-0.153000,-0.227389,0.074389
1,ay,61,-0.212000,-0.251933,0.039933
1,ay,62,-0.299000,-0.214845,0.084155
1,ay,63,-0.342000,-0.057509,0.284491
1,az,0,11.794000,12.048843,0.254843
1,az,1,11.723000,11.884740,0.161740
1,az,2,11.744000,11.958979,0.214979
1,az,3,11.816000,11.975774,0.159774
1,az,4,12.005000,12.106552,0.101552
1,az,5,11.933000,11.953797,0.020797
1,az,6,11.720000,11.857496,0.137496
1,az,7,11.668000,11.903897,0.235897
1,az,8,11.799000,11.886776,0.087776
1,az,9,11.730000,11.897416,0.167416
1,az,10,11.756000,11.728328,0.027672
1,az,11,11.984000,11.845301,0.138699
1,az,12,12.031000,11.923692,0.107308
1,az,13,12.019000,11.973163,0.045837
1,az,14,11.984000,11.975197,0.008803
1,az,15,11.957000,12.072258,0.115258
1,az,16,12.010000,11.982085,0.027915
1,az,17,12.098000,12.053068,0.044932
1,az,18,11.921000,11.905237,0.015763
1,az,19,11.823000,11.830034,0.007034
1,az,20,11.854000,11.782451,0.071549
1,az,21,11.811000,11.595850,0.215150
1,az,22,11.706000,11.735192,0.029192
1,az,23,11.636000,11.679711,0.043711
1,az,24,11.811000,11.801201,0.009799
1,az,25,11.816000,11.932985,0.116985
1,az,26,11.902000,12.016293,0.114293
1,az,27,12.077000,12.185664,0.108664
1,az,28,12.259000,12.307256,0.048256
1,az,29,12.288000,12.302328,0.014328
1,az,30,12.189000,12.161641,0.027359
1,az,31,12.235000,12.268841,0.033841
1,az,32,12.209000,12.041667,0.167333
1,az,33,12.098000,11.997677,0.100323
1,az,34,11.967000,11.867084,0.099916
1,az,35,11.917000,11.807558,0.109442
1,az,36,12.106000,11.851352,0.254648
1,az,37,12.106000,11.828138,0.277862
1,az,38,12.089000,11.923072,0.165928
1,az,39,11.972000,11.928710,0.043290
1,az,40,11.984000,11.956436,0.027564
1,az,41,11.914000,11.931155,0.017155
1,az,42,11.950000,12.013592,0.063592
1,az,43,11.869000,11.814994,0.054006
1,az,44,11.840000,11.817117,0.022883
1,az,45,11.711000,11.699987,0.011013
1,az,46,11.725000,11.713708,0.011292
1,az,47,11.792000,11.726965,0.065035
1,az,48,11.929000,11.733791,0.195209
1,az,49,11.797000,11.737871,0.059129
1,az,50,11.727000,11.839154,0.112154
1,az,51,12.017000,12.041842,0.024842
1,az,52,12.022000,11.949650,0.072350
1,az,53,12.017000,11.990774,0.026226
1,az,54,12.106000,12.007279,0.098721
1,az,55,12.067000,12.027921,0.039079
1,az,56,11.940000,12.053394,0.113394
1,az,57,11.778000,11.840316,0.062316
1,az,58,11.885000,11.963554,0.078554
1,az,59,11.962000,11.984284,0.022284
1,az,60,11.960000,11.998636,0.038636
1,az,61,12.048000,11.997586,0.050414
1,az,62,12.003000,11.985032,0.017968
1,az,63,12.087000,12.109660,0.022660
1,gx,0,0.756000,-2.797857,3.553857
1,gx,1,4.000000,-0.581408,4.581408
1,gx,2,5.695000,-0.125875,5.820875
1,gx,3,6.252000,0.401383,5.850617
1,gx,4,5.565000,0.458014,5.106986
1,gx,5,5.328000,-0.547887,5.875887
1,gx,6,4.794000,0.541744,4.252256
1,gx,7,3.412000,1.057564,2.354436
1,gx,8,1.702000,1.901128,0.199128
1,gx,9,0.290000,1.356577,1.066577
1,gx,10,0.107000,1.911356,1.804356
1,gx,11,0.015000,0.140476,0.125476
1,gx,12,0.718000,-1.624573,2.342573
1,gx,13,1.397000,-0.484363,1.881363
1,gx,14,1.145000,-0.085710,1.230710
1,gx,15,0.954000,0.374967,0.579033
1,gx,16,1.786000,1.694702,0.091298
1,gx,17,2.183000,2.785373,0.602373
1,gx,18,1.504000,4.003344,2.499344
1,gx,19,0.817000,2.840066,2.023066
1,gx,20,0.260000,1.059642,0.799642
1,gx,21,-0.176000,-0.461531,0.285531
1,gx,22,-0.420000,-2.157480,1.737480
1,gx,23,-0.557000,-3.201337,2.644337
1,gx,24,-0.382000,-2.991896,2.609896
1,gx,25,-0.435000,-1.694710,1.259710
1,gx,26,-0.710000,-1.103182,0.393182
1,gx,27,-0.916000,-0.498846,0.417154
1,gx,28,-0.321000,0.315172,0.636172
1,gx,29,1.534000,1.029491,0.504509
1,gx,30,3.305000,1.802272,1.502728
1,gx,31,2.534000,2.106090,0.427910
1,gx,32,-0.519000,0.326578,0.845578
1,gx,33,-4.084000,-0.889810,3.194190
1,gx,34,-7.366000,-3.190164,4.175836
1,gx,35,-8.153000,-3.717857,4.435143
1,gx,36,-6.282000,-0.857367,5.424633
1,gx,37,-2.809000,1.932341,4.741341
1,gx,38,0.924000,3.205269,2.281269
1,gx,39,2.985000,5.115288,2.130288
1,gx,40,2.786000,4.671630,1.885630
1,gx,41,0.992000,3.505051,2.513051
1,gx,42,-0.878000,2.148998,3.026998
1,gx,43,-1.893000,1.693349,3.586349
1,gx,44,-2.198000,-0.558351,1.639649
1,gx,45,-2.107000,-2.100083,0.006917
1,gx,46,-2.382000,-1.932730,0.449270
1,gx,47,-3.099000,-3.442163,0.343163
1,gx,48,-3.573000,-1.435226,2.137774
1,gx,49,-3.198000,-0.774119,2.423881
1,gx,50,-1.603000,-0.364710,1.238290
1,gx,51,0.435000,0.108012,0.326988
1,gx,52,2.084000,0.668347,1.415653
1,gx,53,2.237000,0.859354,1.377646
1,gx,54,1.183000,0.247514,0.935486
1,gx,55,-1.145000,-1.095573,0.049427
1,gx,56,-3.160000,-2.870485,0.289515
1,gx,57,-3.084000,-2.819438,0.264562
1,gx,58,-1.412000,-1.046125,0.365875
1,gx,59,0.191000,-0.351607,0.542607
1,gx,60,1.641000,1.734299,0.093299
1,gx,61,2.954000,3.376877,0.422877
1,gx,62,2.779000,3.329444,0.550444
1,gx,63,0.931000,2.396751,1.465751
1,gy,0,-1.885000,1.558871,3.443871
1,gy,1,-2.000000,3.256934,5.256934
1,gy,2,-1.832000,-0.694634,1.137366
1,gy,3,-2.443000,-1.347311,1.095689
1,gy,4,-4.183000,-1.003113,3.179887
1,gy,5,-6.573000,-1.887498,4.685502
1,gy,6,-7.115000,-1.823205,5.291795
1,gy,7,-5.183000,0.710399,5.893399
1,gy,8,-3.015000,5.177490,8.192490
1,gy,9,-1.985000,3.625511,5.610511
1,gy,10,-1.832000,3.470706,5.302706
1,gy,11,-3.168000,2.485925,5.653925
1,gy,12,-5.550000,0.934930,6.484930
1,gy,13,-7.328000,-1.786788,5.541212
1,gy,14,-6.992000,-2.866507,4.125493
1,gy,15,-5.099000,-1.904337,3.194663
1,gy,16,-2.527000,-3.037417,0.510417
1,gy,17,0.038000,0.351828,0.313828
1,gy,18,1.817000,2.924586,1.107586
1,gy,19,3.634000,4.494613,0.860613
1,gy,20,5.031000,3.890364,1.140636
1,gy,21,4.328000,3.598653,0.729347
1,gy,22,2.519000,1.176172,1.342828
1,gy,23,0.595000,0.298898,0.296102
1,gy,24,-0.779000,0.483661,1.262661
1,gy,25,-1.550000,-2.253550,0.703550
1,gy,26,-1.763000,-1.748598,0.014402
1,gy,27,-1.672000,-1.316818,0.355182
1,gy,28,-1.962000,0.548622,2.510622
1,gy,29,-2.252000,0.468989,2.720989
1,gy,30,-1.092000,1.372023,2.464023
1,gy,31,1.344000,2.866921,1.522921
1,gy,32,2.931000,-0.328525,3.259525
1,gy,33,3.840000,0.255802,3.584198
1,gy,34,4.634000,1.426141,3.207859
1,gy,35,5.656000,-0.600946,6.256946
1,gy,36,5.664000,0.898537,4.765463
1,gy,37,3.924000,2.864330,1.059670
1,gy,38,2.160000,2.024424,0.135576
1,gy,39,1.824000,-0.290130,2.114130
1,gy,40,2.840000,1.215562,1.624438
1,gy,41,4.191000,0.296723,3.894277
1,gy,42,5.573000,-2.987496,8.560496
1,gy,43,6.519000,-1.094126,7.613126
1,gy,44,7.466000,-0.840749,8.306749
1,gy,45,8.504000,-0.203544,8.707544
1,gy,46,9.046000,1.987611,7.058389
1,gy,47,8.450000,5.567896,2.882104
1,gy,48,6.595000,4.915923,1.679077
1,gy,49,4.321000,1.369045,2.951955
1,gy,50,2.885000,1.587789,1.297211
1,gy,51,1.794000,1.533382,0.260618
1,gy,52,0.176000,-2.164242,2.340242
1,gy,53,-0.130000,-3.257928,3.127928
1,gy,54,0.756000,-1.322136,2.078136
1,gy,55,1.626000,-2.432484,4.058484
1,gy,56,2.160000,0.667756,1.492244
1,gy,57,2.969000,3.793346,0.824346
1,gy,58,3.962000,3.904239,0.057761
1,gy,59,2.985000,3.768391,0.783391
1,gy,60,0.405000,2.949791,2.544791
1,gy,61,-2.366000,0.751801,3.117801
1,gy,62,-3.786000,-2.813272,0.972728
1,gy,63,-3.954000,-2.333234,1.620766
1,gz,0,-9.985000,-5.338413,4.646587
1,gz,1,-5.351000,-1.363652,3.987348
1,gz,2,-2.504000,-3.473559,0.969559
1,gz,3,-1.695000,-3.266545,1.571545
1,gz,4,-1.344000,-3.133790,1.789790
1,gz,5,-1.740000,-2.279864,0.539864
