window_idx,axis,mean,rmse,mae,max_abs_error,mape_percent,snr_db,corrcoef
1,ax,0.422000,0.101136,0.085488,0.213656,28.703451,13.302132,0.885006
1,ay,-0.141000,0.123235,0.098800,0.338445,95.367159,3.519342,0.644289
1,az,11.933000,0.110112,0.084997,0.277862,0.713284,40.698777,0.729839
1,gx,0.239000,2.497578,1.869363,5.875887,168.048813,1.267235,0.531580
1,gy,0.674000,3.856154,3.034126,8.707544,169.433714,0.624640,0.380095
1,gz,-0.724000,4.787223,3.806017,11.621131,127.313566,-0.022176,0.378503
2,ax,0.942000,0.224188,0.183621,0.505919,23.274757,12.887986,0.693141
2,ay,-0.683000,1.484423,1.392840,2.783634,156.432097,1.698693,0.518342
2,az,9.285000,0.323585,0.262305,0.752494,2.773549,29.233456,0.973942
2,gx,41.953000,29.512432,24.691988,65.855204,412.478152,4.622755,0.189323
2,gy,-7.403000,9.527016,8.131721,18.316526,271.603363,2.919178,0.586562
2,gz,0.639000,6.146502,4.997516,13.393093,374.596804,3.080725,0.716897
3,ax,-0.198000,0.329520,0.258005,0.916614,235.520697,1.543804,0.554706
3,ay,-0.177000,0.294996,0.258158,0.602517,965.482294,1.513566,0.357079
3,az,8.569000,0.650098,0.590086,1.106461,6.917933,22.420118,0.261614
3,gx,-17.978000,4.104063,3.176486,10.596198,19.109783,13.048646,0.508879
3,gy,-2.960000,6.743528,5.861156,13.648731,184.580781,-1.920850,0.367855
3,gz,-8.765000,3.428634,2.833550,8.577994,43.558618,9.918055,0.868656
4,ax,-0.048000,0.495316,0.453489,0.939641,1371.819801,-2.856196,0.702005
4,ay,0.647000,0.488852,0.436986,0.825081,142.965850,5.163515,0.618225
4,az,12.277000,0.118531,0.099331,0.241879,0.812610,40.307360,0.959877
4,gx,7.380000,12.799959,12.342824,20.913516,227.236653,2.430820,0.669311
4,gy,-12.743000,2.494661,2.016692,5.848709,18.885855,15.058108,0.917138
4,gz,9.185000,4.496140,3.734498,8.789581,54.466652,7.028860,0.417503
5,ax,0.608000,0.182936,0.157507,0.351336,26.292421,10.631861,0.605069
5,ay,-0.557000,0.359762,0.287636,0.768200,196.851888,6.188909,0.736894
5,az,8.660000,0.272366,0.219701,0.653532,2.543365,30.050005,0.435480
5,gx,-2.647000,4.879640,3.728269,12.032494,235.940676,6.151403,0.871701
5,gy,-7.724000,2.797545,2.355632,6.699608,92.358816,9.847096,0.723900
5,gz,2.959000,4.005365,3.343427,7.699563,271.922807,5.675957,0.827117
6,ax,0.167000,0.213892,0.177435,0.512928,195.152131,2.635922,0.522632
6,ay,0.300000,0.301275,0.238574,0.773563,293.326231,1.792738,0.269606
6,az,12.032000,0.422254,0.359509,0.894279,3.006466,29.099732,0.166039
6,gx,-7.941000,4.037166,3.053718,10.588530,147.810219,7.817331,0.779603
6,gy,17.850000,4.651737,3.881080,10.386962,30.594880,12.425358,0.809099
6,gz,4.379000,11.891908,11.095701,19.532312,26358533619.379803,-0.440917,0.362963
7,ax,1.899000,0.395335,0.370702,0.643195,21.411843,13.835670,0.366343
7,ay,-0.426000,0.165591,0.128046,0.423191,44.489052,8.837767,0.625084
7,az,10.441000,0.150303,0.124151,0.340524,1.192316,36.864863,0.985163
7,gx,21.073000,2.380606,1.988168,5.338187,11.108942,19.245876,0.911409
7,gy,-13.248000,4.458452,3.740958,7.787044,38.971490,10.036983,0.506724
7,gz,-6.862000,7.914797,7.307973,14.929433,237.986020,2.079464,0.043925
8,ax,-0.950000,0.242308,0.193713,0.604281,33.753937,12.419986,0.723175
8,ay,-0.097000,0.364779,0.303728,0.824574,658.475305,3.339302,0.729506
8,az,10.147000,0.299903,0.242671,0.723396,2.386476,30.605115,0.933159
8,gx,-20.501000,8.054671,6.575992,19.275091,35.508904,8.664130,0.289939
8,gy,-4.519000,12.046347,10.586877,25.106974,166.515902,0.356203,0.220002
8,gz,8.765000,11.682614,9.914832,24.073106,510.177701,2.281473,0.610629
9,ax,1.137000,0.410286,0.367823,0.784503,37.644415,9.278653,0.231180
9,ay,0.008000,0.164771,0.140018,0.368122,384.667176,-1.078689,0.368021
9,az,10.002000,0.210423,0.168020,0.686807,1.676017,33.547288,0.877616
9,gx,14.345000,2.833137,2.511870,5.407256,19.845914,14.483411,0.768328
9,gy,3.628000,9.929007,8.555378,18.413421,580.645117,-0.379534,0.189955
9,gz,-12.217000,2.671825,2.226637,7.900262,19.161447,13.784401,0.853681
10,ax,-1.856000,0.328810,0.275813,0.716009,15.296686,15.179249,0.376995
10,ay,-0.324000,0.313516,0.272511,0.652253,483.205270,3.255588,0.582677
10,az,9.525000,0.550922,0.493370,1.153790,5.200274,24.768279,0.047471
10,gx,-7.705000,2.709160,2.058945,8.036215,57.683648,9.632698,0.519356
10,gy,-21.870000,6.369732,5.507152,11.552995,26.665465,11.178836,0.788073
10,gz,-0.786000,3.029006,2.532825,6.881981,137.482705,3.177431,0.744317
