window_idx,sample_idx,raw_ir,reconstructed_ir,abs_error
1,0,77779.000000,77817.631425,38.631425
1,1,77780.000000,77820.986722,40.986722
1,2,77778.000000,77814.908343,36.908343
1,3,77777.000000,77808.694660,31.694660
1,4,77773.000000,77791.988590,18.988590
1,5,77769.000000,77788.309335,19.309335
1,6,77767.000000,77790.900225,23.900225
1,7,77765.000000,77789.401104,24.401104
1,8,77773.000000,77766.491207,6.508793
1,9,77776.000000,77765.106167,10.893833
1,10,77782.000000,77775.168517,6.831483
1,11,77792.000000,77783.611317,8.388683
1,12,77795.000000,77790.462467,4.537533
1,13,77798.000000,77792.229641,5.770359
1,14,77800.000000,77796.643915,3.356085
1,15,77800.000000,77800.113019,0.113019
1,16,77800.000000,77812.935093,12.935093
1,17,77796.000000,77817.661498,21.661498
1,18,77795.000000,77807.404352,12.404352
1,19,77794.000000,77808.268388,14.268388
1,20,77790.000000,77810.014782,20.014782
1,21,77785.000000,77807.932074,22.932074
1,22,77773.000000,77788.946900,15.946900
1,23,77768.000000,77788.017293,20.017293
1,24,77763.000000,77785.800927,22.800927
1,25,77762.000000,77780.686134,18.686134
1,26,77760.000000,77775.152528,15.152528
1,27,77760.000000,77771.566876,11.566876
1,28,77759.000000,77760.921064,1.921064
1,29,77765.000000,77761.881430,3.118570
1,30,77765.000000,77769.705793,4.705793
1,31,77766.000000,77769.092467,3.092467
1,32,77765.000000,77770.554869,5.554869
1,33,77760.000000,77765.714637,5.714637
1,34,77760.000000,77772.118770,12.118770
1,35,77763.000000,77768.201698,5.201698
1,36,77765.000000,77759.876473,5.123527
1,37,77771.000000,77764.636900,6.363100
1,38,77774.000000,77766.000427,7.999573
1,39,77773.000000,77757.930325,15.069675
1,40,77773.000000,77745.117806,27.882194
1,41,77772.000000,77748.043677,23.956323
1,42,77765.000000,77738.085634,26.914366
1,43,77763.000000,77740.996482,22.003518
1,44,77760.000000,77741.854061,18.145939
1,45,77757.000000,77733.847208,23.152792
1,46,77743.000000,77718.485418,24.514582
1,47,77734.000000,77717.838572,16.161428
1,48,77735.000000,77724.099277,10.900723
1,49,77731.000000,77715.802122,15.197878
1,50,77726.000000,77707.779735,18.220265
1,51,77726.000000,77708.869952,17.130048
1,52,77722.000000,77708.719611,13.280389
1,53,77716.000000,77702.889407,13.110593
1,54,77715.000000,77702.413725,12.586275
1,55,77706.000000,77701.515237,4.484763
1,56,77701.000000,77690.985040,10.014960
1,57,77703.000000,77697.419057,5.580943
1,58,77705.000000,77704.727664,0.272336
1,59,77709.000000,77701.138733,7.861267
1,60,77711.000000,77687.310848,23.689152
1,61,77716.000000,77695.424462,20.575538
1,62,77719.000000,77697.979581,21.020419
1,63,77726.000000,77704.972338,21.027662
2,0,77757.000000,77704.972338,52.027662
2,1,77763.000000,77701.396174,61.603826
2,2,77765.000000,77696.689633,68.310367
2,3,77767.000000,77699.353856,67.646144
2,4,77769.000000,77713.760676,55.239324
2,5,77772.000000,77710.167586,61.832414
2,6,77774.000000,77716.228390,57.771610
2,7,77777.000000,77714.644370,62.355630
2,8,77782.000000,77740.985792,41.014208
2,9,77777.000000,77738.945527,38.054473
2,10,77782.000000,77743.701524,38.298476
2,11,77786.000000,77742.012386,43.987614
2,12,77790.000000,77752.106498,37.893502
2,13,77796.000000,77757.466892,38.533108
2,14,77795.000000,77755.905307,39.094693
2,15,77797.000000,77749.478916,47.521084
2,16,77795.000000,77745.442827,49.557173
2,17,77791.000000,77748.126466,42.873534
2,18,77784.000000,77744.521495,39.478505
2,19,77780.000000,77744.022293,35.977707
2,20,77776.000000,77728.138327,47.861673
2,21,77779.000000,77741.181002,37.818998
2,22,77778.000000,77734.548907,43.451093
2,23,77782.000000,77739.909972,42.090028
2,24,77780.000000,77715.706313,64.293687
2,25,77782.000000,77717.027889,64.972111
2,26,77785.000000,77720.275661,64.724339
2,27,77783.000000,77720.983216,62.016784
2,28,77782.000000,77714.352069,67.647931
2,29,77782.000000,77712.916097,69.083903
2,30,77777.000000,77720.935030,56.064970
2,31,77779.000000,77726.648160,52.351840
2,32,77780.000000,77734.529222,45.470778
2,33,77782.000000,77733.242485,48.757515
2,34,77785.000000,77736.542424,48.457576
2,35,77788.000000,77734.627803,53.372197
2,36,77788.000000,77754.396549,33.603451
2,37,77788.000000,77744.891733,43.108267
2,38,77791.000000,77740.889125,50.110875
2,39,77792.000000,77734.761140,57.238860
2,40,77794.000000,77743.350881,50.649119
2,41,77793.000000,77741.005091,51.994909
2,42,77791.000000,77732.118411,58.881589
2,43,77791.000000,77734.805697,56.194303
2,44,77794.000000,77741.850752,52.149248
2,45,77797.000000,77743.245686,53.754314
2,46,77796.000000,77740.423073,55.576927
2,47,77793.000000,77732.544141,60.455859
2,48,77790.000000,77732.164624,57.835376
2,49,77788.000000,77736.783187,51.216813
2,50,77790.000000,77737.276215,52.723785
2,51,77789.000000,77736.318512,52.681488
2,52,77789.000000,77724.267037,64.732963
2,53,77786.000000,77729.716979,56.283021
2,54,77786.000000,77737.484384,48.515616
2,55,77784.000000,77736.648853,47.351147
2,56,77776.000000,77724.331171,51.668829
2,57,77776.000000,77719.396766,56.603234
2,58,77769.000000,77726.576674,42.423326
2,59,77761.000000,77726.687510,34.312490
2,60,77756.000000,77711.519731,44.480269
2,61,77755.000000,77708.906773,46.093227
2,62,77747.000000,77703.856983,43.143017
2,63,77741.000000,77703.084192,37.915808
3,0,77731.000000,77703.084192,27.915808
3,1,77733.000000,77705.220356,27.779644
3,2,77736.000000,77703.089308,32.910692
3,3,77736.000000,77703.088063,32.911937
3,4,77741.000000,77712.917065,28.082935
3,5,77743.000000,77713.815748,29.184252
3,6,77736.000000,77713.222081,22.777919
3,7,77734.000000,77704.954386,29.045614
3,8,77733.000000,77710.837546,22.162454
3,9,77740.000000,77716.736441,23.263559
3,10,77745.000000,77720.456311,24.543689
3,11,77747.000000,77725.603696,21.396304
3,12,77747.000000,77729.436942,17.563058
3,13,77743.000000,77725.423347,17.576653
3,14,77741.000000,77725.218170,15.781830
3,15,77750.000000,77729.407023,20.592977
3,16,77752.000000,77722.830295,29.169705
3,17,77757.000000,77721.305451,35.694549
3,18,77761.000000,77721.622841,39.377159
3,19,77757.000000,77721.524656,35.475344
3,20,77756.000000,77725.561967,30.438033
3,21,77758.000000,77726.326665,31.673335
3,22,77754.000000,77724.181380,29.818620
3,23,77753.000000,77727.371394,25.628606
3,24,77754.000000,77718.599160,35.400840
3,25,77756.000000,77723.772370,32.227630
3,26,77759.000000,77726.301138,32.698862
3,27,77764.000000,77728.387451,35.612549
3,28,77764.000000,77727.966087,36.033913
3,29,77764.000000,77738.286132,25.713868
3,30,77765.000000,77735.549475,29.450525
3,31,77764.000000,77730.344556,33.655444
3,32,77769.000000,77727.603563,41.396437
3,33,77770.000000,77723.659215,46.340785
3,34,77772.000000,77727.575245,44.424755
3,35,77768.000000,77725.492692,42.507308
3,36,77768.000000,77729.128972,38.871028
3,37,77768.000000,77731.038037,36.961963
3,38,77774.000000,77730.088133,43.911867
3,39,77769.000000,77726.444347,42.555653
3,40,77771.000000,77732.786516,38.213484
3,41,77770.000000,77727.673446,42.326554
3,42,77767.000000,77725.603489,41.396511
3,43,77766.000000,77721.991009,44.008991
3,44,77764.000000,77727.457105,36.542895
3,45,77766.000000,77730.684710,35.315290
3,46,77767.000000,77731.394027,35.605973
3,47,77768.000000,77730.086749,37.913251
3,48,77767.000000,77726.101323,40.898677
3,49,77762.000000,77718.995672,43.004328
3,50,77758.000000,77718.735312,39.264688
3,51,77755.000000,77723.794204,31.205796
3,52,77753.000000,77720.798415,32.201585
3,53,77754.000000,77720.400998,33.599002
3,54,77756.000000,77722.337259,33.662741
3,55,77752.000000,77718.684581,33.315419
3,56,77749.000000,77716.009989,32.990011
3,57,77746.000000,77714.580960,31.419040
3,58,77738.000000,77707.547272,30.452728
3,59,77735.000000,77706.464254,28.535746
3,60,77726.000000,77695.131237,30.868763
3,61,77730.000000,77700.327594,29.672406
3,62,77727.000000,77703.299713,23.700287
3,63,77728.000000,77699.598194,28.401806
4,0,77728.000000,77699.598194,28.401806
4,1,77734.000000,77696.298102,37.701898
4,2,77733.000000,77692.690375,40.309625
4,3,77739.000000,77707.654152,31.345848
4,4,77737.000000,77707.281723,29.718277
4,5,77739.000000,77699.867075,39.132925
4,6,77740.000000,77695.293235,44.706765
4,7,77741.000000,77704.204172,36.795828
4,8,77747.000000,77698.007957,48.992043
4,9,77748.000000,77698.988041,49.011959
4,10,77746.000000,77694.520406,51.479594
4,11,77746.000000,77698.422822,47.577178
4,12,77743.000000,77698.637360,44.362640
4,13,77748.000000,77700.166938,47.833062
4,14,77750.000000,77691.073103,58.926897
4,15,77757.000000,77702.367365,54.632635
4,16,77753.000000,77724.504696,28.495304
4,17,77759.000000,77724.615522,34.384478
4,18,77757.000000,77720.487462,36.512538
4,19,77756.000000,77725.274805,30.725195
4,20,77753.000000,77726.168667,26.831333
4,21,77746.000000,77715.485710,30.514290
4,22,77747.000000,77703.421690,43.578310
4,23,77742.000000,77704.942524,37.057476
4,24,77739.000000,77722.205473,16.794527
4,25,77743.000000,77719.376967,23.623033
4,26,77746.000000,77714.252098,31.747902
