window_idx,mean_ir,hr,spo2,ppg_valid,rmse,mae,snr_db,corrcoef
1,77758.906000,127,93.860000,1,17.713817,15.051174,72.848760,0.917091
2,77781.094000,127,94.360000,1,9.397830,7.836832,78.356930,0.777881
3,77753.234000,127,94.470000,1,7.090105,5.647802,80.801316,0.860141
4,77766.562000,127,90.700000,1,9.967436,8.141134,77.844190,0.920783
5,77835.500000,127,86.720000,1,12.129291,10.792867,76.146846,0.557969
6,77863.000000,103,82.830000,1,13.878730,12.417974,74.979628,0.707214
7,77875.016000,106,79.020000,1,6.551820,5.632441,81.500724,0.605494
8,77818.531000,100,87.740000,1,8.795448,7.476062,78.936501,0.947002
9,77795.937000,100,94.140000,1,13.910659,11.746121,74.952184,0.938511
10,77810.734000,100,94.140000,1,6.224797,4.844191,81.938287,0.966105
11,77729.328000,110,95.370000,1,15.447230,14.345933,74.034686,0.442453
12,77750.812000,123,93.680000,1,6.884917,5.639958,81.056124,0.849761
13,77682.750000,127,94.910000,1,7.613611,6.317296,80.174678,0.984579
14,77616.687000,127,96.370000,1,5.508438,4.366594,82.978534,0.983076
15,77601.172000,127,93.460000,1,5.285748,4.303127,83.335237,0.816428
16,77620.672000,127,90.910000,1,11.999752,11.315550,76.216103,0.525821
17,77593.203000,76,93.030000,1,8.697218,7.384019,79.008867,0.845683
18,77618.937000,76,94.490000,1,8.773277,6.987308,78.936118,0.842304
19,77639.016000,67,93.460000,1,7.725074,6.863969,80.043547,0.780009
20,77676.406000,60,92.120000,1,13.095560,12.282521,75.463301,0.927938
21,77717.016000,53,91.650000,1,11.891438,11.260897,76.305635,0.891695
22,77740.812000,49,89.650000,1,8.935550,7.979663,78.790556,0.592914
23,77749.141000,45,84.050000,1,4.650821,3.956617,84.463319,0.717399
24,77749.937000,45,80.360000,1,11.069662,9.959277,76.931314,0.683872
25,77753.484000,43,75.340000,1,3.701246,3.092236,86.447439,0.805924
26,77759.094000,43,77.610000,1,8.642981,6.510012,79.081753,0.517885
27,77783.187000,42,88.650000,1,12.429409,11.228970,75.928705,0.010396
28,77853.937000,42,88.990000,1,10.754662,9.496681,77.193678,0.984195
29,77925.344000,50,86.050000,1,5.215808,4.030671,83.487142,0.899983
30,78009.359000,53,91.020000,1,16.274906,15.210253,73.612565,0.953346
31,78045.187000,55,86.750000,1,6.664877,5.248395,81.371080,0.716052
32,78085.984000,70,92.700000,1,12.414620,10.993009,75.972793,0.903375
33,78082.875000,77,91.700000,1,5.585324,4.488996,82.910148,0.854912
34,78084.969000,79,86.950000,1,7.681588,6.200351,80.142329,0.899819
35,78112.156000,79,89.460000,1,8.013125,6.485238,79.778335,0.631189
36,78166.375000,81,89.940000,1,13.683955,12.457857,75.136167,0.341940
37,78204.125000,83,86.050000,1,7.761864,6.088800,80.065272,0.918182
38,78235.844000,83,86.530000,1,5.714100,4.702451,82.729159,0.940384
39,78245.500000,96,89.250000,1,5.769139,4.704031,82.646968,0.753662
40,78228.406000,84,87.590000,1,3.668657,2.679974,86.577146,0.907593
41,78197.453000,66,86.500000,1,8.109136,6.474728,79.684361,0.680742
42,78167.078000,62,87.150000,1,7.249467,6.248519,80.654356,0.706900
43,78165.219000,60,84.700000,1,6.132590,5.471416,82.107392,0.503037
44,78143.047000,56,84.250000,1,5.316963,4.545399,83.344534,0.745851
45,78159.828000,61,85.820000,1,3.785375,3.245666,86.297493,0.890051
46,78148.172000,79,77.080000,1,2.286798,1.892923,90.673819,0.935089
47,78157.203000,80,75.680000,1,3.878439,2.901963,86.086240,0.846937
48,78138.453000,81,80.860000,1,3.939202,3.304357,85.949132,0.631649
49,78144.266000,77,79.830000,1,9.532076,8.469638,78.274192,0.466113
50,78101.547000,89,82.530000,1,11.540890,9.946192,76.608407,0.397292
