host_ts,topic,payload_len,payload
2026-07-17T06:02:46,health_monitor/node_2/cs_ppg,310,"{""ts"":9011,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.6600,0.7141,0.7646,0.8090,0.8451,0.8710,0.8854,0.8873,0.8765,0.8533,0.8184,0.7734,0.7201,0.6607,0.5979,0.5342,0.4726,0.4156,0.3657,0.3249,0.2950,0.2772,0.2720,0.2795,0.2991,0.3297,0.3697,0.4171,0.4694,0.5243,0.5789,0.6307]}"
2026-07-17T06:02:46,health_monitor/node_1/cs_imu,1516,"{""ts"":9033,""finger"":true,""mean_ax"":0.1000,""ax"":[0.1900,0.2258,0.2605,0.2928,0.3219,0.3467,0.3664,0.3804,0.3883,0.3898,0.3848,0.3735,0.3563,0.3337,0.3065,0.2755,0.2417,0.2063,0.1704,0.1350,0.1015,0.0708,0.0440,0.0219,0.0052,-0.0055,-0.0099,-0.0078,0.0006,0.0152,0.0354,0.0607],""mean_ay"":0.2000,""ay"":[0.4583,0.4749,0.4856,0.4899,0.4878,0.4793,0.4646,0.4444,0.4191,0.3897,0.3570,0.3222,0.2863,0.2506,0.2161,0.1840,0.1554,0.1311,0.1119,0.0985,0.0913,0.0905,0.0961,0.1080,0.1258,0.1489,0.1765,0.2079,0.2418,0.2774,0.3133,0.3485],""mean_az"":0.3000,""az"":[0.5719,0.5540,0.5309,0.5032,0.4718,0.4378,0.4023,0.3664,0.3312,0.2979,0.2676,0.2413,0.2197,0.2037,0.1937,0.1900,0.1928,0.2020,0.2172,0.2380,0.2637,0.2936,0.3265,0.3615,0.3974,0.4330,0.4673,0.4991,0.5273,0.5511,0.5697,0.5825],""mean_gx"":0.4000,""gx"":[0.5182,0.4823,0.4467,0.4124,0.3807,0.3524,0.3287,0.3101,0.2974,0.2909,0.2908,0.2971,0.3097,0.3281,0.3518,0.3799,0.4115,0.4457,0.4814,0.5173,0.5523,0.5853,0.6153,0.6412,0.6622,0.6776,0.6870,0.6900,0.6865,0.6768,0.6609,0.6396],""mean_gy"":0.5000,""gy"":[0.4386,0.4177,0.4023,0.3930,0.3900,0.3935,0.4034,0.4192,0.4406,0.4669,0.4971,0.5303,0.5654,0.6014,0.6369,0.6710,0.7024,0.7302,0.7535,0.7715,0.7836,0.7895,0.7889,0.7819,0.7687,0.7497,0.7256,0.6970,0.6651,0.6307,0.5950,0.5591],""mean_gz"":0.6000,""gz"":[0.4982,0.5115,0.5305,0.5547,0.5832,0.6152,0.6496,0.6854,0.7212,0.7561,0.7888,0.8184,0.8437,0.8642,0.8789,0.8876,0.8899,0.8858,0.8753,0.8588,0.8369,0.8102,0.7796,0.7462,0.7109,0.6750,0.6395,0.6057,0.5746,0.5472,0.5244,0.5070]}"
2026-07-17T06:02:49,health_monitor/node_2/cs_ppg,311,"{""ts"":12020,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.6700,0.7241,0.7746,0.8190,0.8551,0.8810,0.8954,0.8973,0.8865,0.8633,0.8284,0.7834,0.7301,0.6707,0.6079,0.5442,0.4826,0.4256,0.3757,0.3349,0.3050,0.2872,0.2820,0.2895,0.3091,0.3397,0.3797,0.4271,0.4794,0.5343,0.5889,0.6407]}"
2026-07-17T06:02:49,health_monitor/node_1/cs_imu,1514,"{""ts"":12062,""finger"":true,""mean_ax"":0.1000,""ax"":[0.2200,0.2558,0.2905,0.3228,0.3519,0.3767,0.3964,0.4104,0.4183,0.4198,0.4148,0.4035,0.3863,0.3637,0.3365,0.3055,0.2717,0.2363,0.2004,0.1650,0.1315,0.1008,0.0740,0.0519,0.0352,0.0245,0.0201,0.0222,0.0306,0.0452,0.0654,0.0907],""mean_ay"":0.2000,""ay"":[0.4883,0.5049,0.5156,0.5199,0.5178,0.5093,0.4946,0.4744,0.4491,0.4197,0.3870,0.3522,0.3163,0.2806,0.2461,0.2140,0.1854,0.1611,0.1419,0.1285,0.1213,0.1205,0.1261,0.1380,0.1558,0.1789,0.2065,0.2379,0.2718,0.3074,0.3433,0.3785],""mean_az"":0.3000,""az"":[0.6019,0.5840,0.5609,0.5332,0.5018,0.4678,0.4323,0.3964,0.3612,0.3279,0.2976,0.2713,0.2497,0.2337,0.2237,0.2200,0.2228,0.2320,0.2472,0.2680,0.2937,0.3236,0.3565,0.3915,0.4274,0.4630,0.4973,0.5291,0.5573,0.5811,0.5997,0.6125],""mean_gx"":0.4000,""gx"":[0.5482,0.5123,0.4767,0.4424,0.4107,0.3824,0.3587,0.3401,0.3274,0.3209,0.3208,0.3271,0.3397,0.3581,0.3818,0.4099,0.4415,0.4757,0.5114,0.5473,0.5823,0.6153,0.6453,0.6712,0.6922,0.7076,0.7170,0.7200,0.7165,0.7068,0.6909,0.6696],""mean_gy"":0.5000,""gy"":[0.4686,0.4477,0.4323,0.4230,0.4200,0.4235,0.4334,0.4492,0.4706,0.4969,0.5271,0.5603,0.5954,0.6314,0.6669,0.7010,0.7324,0.7602,0.7835,0.8015,0.8136,0.8195,0.8189,0.8119,0.7987,0.7797,0.7556,0.7270,0.6951,0.6607,0.6250,0.5891],""mean_gz"":0.6000,""gz"":[0.5282,0.5415,0.5605,0.5847,0.6132,0.6452,0.6796,0.7154,0.7512,0.7861,0.8188,0.8484,0.8737,0.8942,0.9089,0.9176,0.9199,0.9158,0.9053,0.8888,0.8669,0.8402,0.8096,0.7762,0.7409,0.7050,0.6695,0.6357,0.6046,0.5772,0.5544,0.5370]}"
2026-07-17T06:02:52,health_monitor/node_2/cs_ppg,311,"{""ts"":15047,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.6800,0.7341,0.7846,0.8290,0.8651,0.8910,0.9054,0.9073,0.8965,0.8733,0.8384,0.7934,0.7401,0.6807,0.6179,0.5542,0.4926,0.4356,0.3857,0.3449,0.3150,0.2972,0.2920,0.2995,0.3191,0.3497,0.3897,0.4371,0.4894,0.5443,0.5989,0.6507]}"
2026-07-17T06:02:52,health_monitor/node_1/cs_imu,1514,"{""ts"":15088,""finger"":true,""mean_ax"":0.1000,""ax"":[0.2500,0.2858,0.3205,0.3528,0.3819,0.4067,0.4264,0.4404,0.4483,0.4498,0.4448,0.4335,0.4163,0.3937,0.3665,0.3355,0.3017,0.2663,0.2304,0.1950,0.1615,0.1308,0.1040,0.0819,0.0652,0.0545,0.0501,0.0522,0.0606,0.0752,0.0954,0.1207],""mean_ay"":0.2000,""ay"":[0.5183,0.5349,0.5456,0.5499,0.5478,0.5393,0.5246,0.5044,0.4791,0.4497,0.4170,0.3822,0.3463,0.3106,0.2761,0.2440,0.2154,0.1911,0.1719,0.1585,0.1513,0.1505,0.1561,0.1680,0.1858,0.2089,0.2365,0.2679,0.3018,0.3374,0.3733,0.4085],""mean_az"":0.3000,""az"":[0.6319,0.6140,0.5909,0.5632,0.5318,0.4978,0.4623,0.4264,0.3912,0.3579,0.3276,0.3013,0.2797,0.2637,0.2537,0.2500,0.2528,0.2620,0.2772,0.2980,0.3237,0.3536,0.3865,0.4215,0.4574,0.4930,0.5273,0.5591,0.5873,0.6111,0.6297,0.6425],""mean_gx"":0.4000,""gx"":[0.5782,0.5423,0.5067,0.4724,0.4407,0.4124,0.3887,0.3701,0.3574,0.3509,0.3508,0.3571,0.3697,0.3881,0.4118,0.4399,0.4715,0.5057,0.5414,0.5773,0.6123,0.6453,0.6753,0.7012,0.7222,0.7376,0.7470,0.7500,0.7465,0.7368,0.7209,0.6996],""mean_gy"":0.5000,""gy"":[0.4986,0.4777,0.4623,0.4530,0.4500,0.4535,0.4634,0.4792,0.5006,0.5269,0.5571,0.5903,0.6254,0.6614,0.6969,0.7310,0.7624,0.7902,0.8135,0.8315,0.8436,0.8495,0.8489,0.8419,0.8287,0.8097,0.7856,0.7570,0.7251,0.6907,0.6550,0.6191],""mean_gz"":0.6000,""gz"":[0.5582,0.5715,0.5905,0.6147,0.6432,0.6752,0.7096,0.7454,0.7812,0.8161,0.8488,0.8784,0.9037,0.9242,0.9389,0.9476,0.9499,0.9458,0.9353,0.9188,0.8969,0.8702,0.8396,0.8062,0.7709,0.7350,0.6995,0.6657,0.6346,0.6072,0.5844,0.5670]}"
2026-07-17T06:02:55,health_monitor/node_2/cs_ppg,311,"{""ts"":18084,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.6900,0.7441,0.7946,0.8390,0.8751,0.9010,0.9154,0.9173,0.9065,0.8833,0.8484,0.8034,0.7501,0.6907,0.6279,0.5642,0.5026,0.4456,0.3957,0.3549,0.3250,0.3072,0.3020,0.3095,0.3291,0.3597,0.3997,0.4471,0.4994,0.5543,0.6089,0.6607]}"
2026-07-17T06:02:55,health_monitor/node_1/cs_imu,1514,"{""ts"":18105,""finger"":true,""mean_ax"":0.1000,""ax"":[0.2800,0.3158,0.3505,0.3828,0.4119,0.4367,0.4564,0.4704,0.4783,0.4798,0.4748,0.4635,0.4463,0.4237,0.3965,0.3655,0.3317,0.2963,0.2604,0.2250,0.1915,0.1608,0.1340,0.1119,0.0952,0.0845,0.0801,0.0822,0.0906,0.1052,0.1254,0.1507],""mean_ay"":0.2000,""ay"":[0.5483,0.5649,0.5756,0.5799,0.5778,0.5693,0.5546,0.5344,0.5091,0.4797,0.4470,0.4122,0.3763,0.3406,0.3061,0.2740,0.2454,0.2211,0.2019,0.1885,0.1813,0.1805,0.1861,0.1980,0.2158,0.2389,0.2665,0.2979,0.3318,0.3674,0.4033,0.4385],""mean_az"":0.3000,""az"":[0.6619,0.6440,0.6209,0.5932,0.5618,0.5278,0.4923,0.4564,0.4212,0.3879,0.3576,0.3313,0.3097,0.2937,0.2837,0.2800,0.2828,0.2920,0.3072,0.3280,0.3537,0.3836,0.4165,0.4515,0.4874,0.5230,0.5573,0.5891,0.6173,0.6411,0.6597,0.6725],""mean_gx"":0.4000,""gx"":[0.6082,0.5723,0.5367,0.5024,0.4707,0.4424,0.4187,0.4001,0.3874,0.3809,0.3808,0.3871,0.3997,0.4181,0.4418,0.4699,0.5015,0.5357,0.5714,0.6073,0.6423,0.6753,0.7053,0.7312,0.7522,0.7676,0.7770,0.7800,0.7765,0.7668,0.7509,0.7296],""mean_gy"":0.5000,""gy"":[0.5286,0.5077,0.4923,0.4830,0.4800,0.4835,0.4934,0.5092,0.5306,0.5569,0.5871,0.6203,0.6554,0.6914,0.7269,0.7610,0.7924,0.8202,0.8435,0.8615,0.8736,0.8795,0.8789,0.8719,0.8587,0.8397,0.8156,0.7870,0.7551,0.7207,0.6850,0.6491],""mean_gz"":0.6000,""gz"":[0.5882,0.6015,0.6205,0.6447,0.6732,0.7052,0.7396,0.7754,0.8112,0.8461,0.8788,0.9084,0.9337,0.9542,0.9689,0.9776,0.9799,0.9758,0.9653,0.9488,0.9269,0.9002,0.8696,0.8362,0.8009,0.7650,0.7295,0.6957,0.6646,0.6372,0.6144,0.5970]}"
2026-07-17T06:02:58,health_monitor/node_2/cs_ppg,311,"{""ts"":21108,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.7000,0.7541,0.8046,0.8490,0.8851,0.9110,0.9254,0.9273,0.9165,0.8933,0.8584,0.8134,0.7601,0.7007,0.6379,0.5742,0.5126,0.4556,0.4057,0.3649,0.3350,0.3172,0.3120,0.3195,0.3391,0.3697,0.4097,0.4571,0.5094,0.5643,0.6189,0.6707]}"
2026-07-17T06:02:58,health_monitor/node_1/cs_imu,1529,"{""ts"":21125,""finger"":true,""mean_ax"":0.1000,""ax"":[0.3100,0.3458,0.3805,0.4128,0.4419,0.4667,0.4864,0.5004,0.5083,0.5098,0.5048,0.4935,0.4763,0.4537,0.4265,0.3955,0.3617,0.3263,0.2904,0.2550,0.2215,0.1908,0.1640,0.1419,0.1252,0.1145,0.1101,0.1122,0.1206,0.1352,0.1554,0.1807],""mean_ay"":0.2000,""ay"":[0.5783,0.5949,0.6056,0.6099,0.6078,0.5993,0.5846,0.5644,0.5391,0.5097,0.4770,0.4422,0.4063,0.3706,0.3361,0.3040,0.2754,0.2511,0.2319,0.2185,0.2113,0.2105,0.2161,0.2280,0.2458,0.2689,0.2965,0.3279,0.3618,0.3974,0.4333,0.4685],""mean_az"":0.3000,""az"":[0.6919,0.6740,0.6509,0.6232,0.5918,0.5578,0.5223,0.4864,0.4512,0.4179,0.3876,0.3613,0.3397,0.3237,0.3137,0.3100,0.3128,0.3220,0.3372,0.3580,0.3837,0.4136,0.4465,0.4815,0.5174,0.5530,0.5873,0.6191,0.6473,0.6711,0.6897,0.7025],""mean_gx"":0.4000,""gx"":[0.6382,0.6023,0.5667,0.5324,0.5007,0.4724,0.4487,0.4301,0.4174,0.4109,0.4108,0.4171,0.4297,0.4481,0.4718,0.4999,0.5315,0.5657,0.6014,0.6373,0.6723,0.7053,0.7353,0.7612,0.7822,0.7976,0.8070,0.8100,0.8065,0.7968,0.7809,0.7596],""mean_gy"":0.5000,""gy"":[0.5586,0.5377,0.5223,0.5130,0.5100,0.5135,0.5234,0.5392,0.5606,0.5869,0.6171,0.6503,0.6854,0.7214,0.7569,0.7910,0.8224,0.8502,0.8735,0.8915,0.9036,0.9095,0.9089,0.9019,0.8887,0.8697,0.8456,0.8170,0.7851,0.7507,0.7150,0.6791],""mean_gz"":0.6000,""gz"":[0.6182,0.6315,0.6505,0.6747,0.7032,0.7352,0.7696,0.8054,0.8412,0.8761,0.9088,0.9384,0.9637,0.9842,0.9989,1.0076,1.0099,1.0058,0.9953,0.9788,0.9569,0.9302,0.8996,0.8662,0.8309,0.7950,0.7595,0.7257,0.6946,0.6672,0.6444,0.6270],""relayed_by"":2}"
