route,topic,payload,source
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":311633,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,4.0000,3.0000,103.0000,-53.0000,-59.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":314648,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,4.0000,3.0000,104.0000,-53.0000,-59.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":317662,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,4.0000,3.0000,105.0000,-53.0000,-59.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":320682,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,0.0000,106.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":323695,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,0.0000,107.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":326708,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,0.0000,108.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":329722,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,0.0000,109.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":332736,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,0.0000,110.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":335749,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,0.0000,111.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":338764,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,0.0000,112.0000,-49.0000,-53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":341778,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,1.0000,113.0000,-81.0000,-46.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":344791,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,1.0000,114.0000,-81.0000,-46.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
