node,scenario,cycle,repeat,idx,name,self,neighbor,expect,t,source
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,187,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,197,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,208,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,218,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,218,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,228,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,239,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,249,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,259,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,270,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,280,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,290,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,291,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,301,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,311,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,322,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,332,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,342,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,353,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,363,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,373,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,373,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,384,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,394,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,404,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,415,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,425,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,435,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,446,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,446,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,456,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,467,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,477,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,487,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,498,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,508,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,518,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,518,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,529,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,539,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,549,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,560,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,570,gateway
